1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.107308	0.108459	0.103485	0.102508	0.113505	0.110516	0.111038	0.110477	0.113473	1.02866	4465.39	0.0285523	0.110045
0.108781	0.109867	0.115067	0.108914	0.105733	0.100359	0.109198	0.100542	0.103139	0.972601	2375.29	0.060463	0.106117
0.106031	0.108211	0.107919	0.102831	0.105887	0.108681	0.116011	0.1044	0.125122	1.03606	1897.77	0.438887	0.109436
0.101176	0.116407	0.114995	0.114557	0.111142	0.102772	0.126707	0.094379	0.121164	1.13276	896.099	0.139512	0.113089
0.105244	0.115151	0.123255	0.10431	0.122708	0.105628	0.106178	0.0994696	0.112261	1.05005	1638.48	0.178953	0.109932
0.104015	0.0981622	0.117299	0.107693	0.109644	0.106368	0.117602	0.113697	0.116628	1.07432	1537.34	0.217475	0.110889
0.105971	0.102094	0.122576	0.109093	0.110462	0.100505	0.122631	0.114645	0.119783	1.04293	1909.11	0.220615	0.11002
0.10229	0.114107	0.0990473	0.0968889	0.123065	0.110797	0.109639	0.098062	0.1158	1.05942	1600.55	0.0727869	0.107713
0.10304	0.119312	0.108349	0.102179	0.10189	0.0989368	0.113317	0.0947085	0.100118	0.988316	1481.76	0.0101602	0.101959
0.105634	0.104306	0.108766	0.103806	0.10906	0.103669	0.112314	0.104799	0.120613	0.99797	2915.01	0.0334408	0.105443
0.103848	0.118212	0.110971	0.109076	0.118369	0.110787	0.112664	0.107376	0.114665	1.08204	3297.24	0.26991	0.111418
0.101965	0.102297	0.112536	0.104459	0.109444	0.103556	0.119132	0.104644	0.114653	1.0196	678.832	0.408801	0.103756
0.1008	0.106317	0.113957	0.100598	0.112035	0.0970361	0.116002	0.0993978	0.12104	1.04487	869.273	0.752274	0.104849
0.101753	0.109286	0.109241	0.10175	0.114071	0.103305	0.112115	0.105208	0.0999446	1.07886	3839.26	0.12734	0.108904
0.101699	0.111443	0.10767	0.101418	0.114032	0.114484	0.111286	0.101424	0.109256	1.03079	3456.33	0.272227	0.104503
0.104584	0.10831	0.106498	0.100216	0.113878	0.108562	0.107293	0.102322	0.103676	1.06598	3282.9	0.347947	0.110721
0.106823	0.112814	0.114267	0.111603	0.110543	0.103099	0.122491	0.109525	0.123335	1.10002	1118.19	0.065773	0.116266
0.104249	0.109079	0.106153	0.104204	0.11264	0.109233	0.106574	0.104081	0.105202	1.03825	10059.8	0.608924	0.107807
0.105695	0.107178	0.11348	0.106319	0.103878	0.101063	0.11129	0.103886	0.110008	1.01786	2655.93	0.161103	0.10738
0.103475	0.108868	0.106484	0.104449	0.108447	0.10893	0.115402	0.107814	0.10623	1.03655	2530.84	0.0816421	0.106853
0.101286	0.10378	0.105518	0.105511	0.10661	0.100241	0.102381	0.0992075	0.107753	1.02608	6983.64	0.406213	0.103654
0.109805	0.117689	0.114573	0.113149	0.115764	0.111174	0.122048	0.111564	0.113516	1.05275	4699.69	0.050562	0.114932
0.10779	0.111264	0.113204	0.109655	0.110865	0.110777	0.11629	0.113502	0.118598	1.0298	4540	0.0356149	0.110647
0.103881	0.110313	0.107987	0.10467	0.114125	0.104529	0.112343	0.0987002	0.105925	1.05433	1913.57	0.315409	0.10891
0.105541	0.109339	0.108868	0.104177	0.104698	0.103943	0.109916	0.108906	0.115435	0.971132	1362.53	0.129592	0.102807
0.101179	0.110862	0.110507	0.109849	0.116164	0.11172	0.114087	0.105279	0.108156	1.09867	5908.21	0.110966	0.110063
0.105439	0.107306	0.1048	0.104504	0.101778	0.103259	0.110481	0.106368	0.114602	1.01105	2867.4	0.0881046	0.10648
0.109114	0.109999	0.107463	0.105302	0.115122	0.107362	0.10996	0.103758	0.105711	1.00446	5901.33	0.333399	0.109548
0.105531	0.113395	0.11448	0.108296	0.110304	0.109278	0.111234	0.104559	0.111059	1.02858	5249.33	0.226721	0.108221
0.103824	0.111326	0.110659	0.109561	0.116232	0.109019	0.118684	0.1135	0.116231	1.14317	2614.84	0.12337	0.11695
0.10314	0.107557	0.113586	0.107935	0.108848	0.0991722	0.111631	0.104323	0.106374	1.09038	2463.55	0.225666	0.111423
0.0989898	0.10161	0.10761	0.105395	0.11331	0.107878	0.111529	0.105596	0.10337	1.04546	5534.31	0.36703	0.103026
0.100817	0.112241	0.112509	0.106197	0.105555	0.104268	0.118596	0.107114	0.113982	1.02644	1254.36	0.0596919	0.103207
0.111584	0.110715	0.105561	0.110607	0.110574	0.114104	0.11075	0.108027	0.110345	1.01325	3943.04	0.0782755	0.112895
0.102464	0.108932	0.116362	0.099041	0.118274	0.104283	0.114709	0.101309	0.112169	1.01692	889.43	0.190854	0.104018
0.10696	0.110345	0.109214	0.106802	0.112739	0.107764	0.117817	0.102498	0.114632	1.0442	4747.72	0.0418102	0.111162
0.102011	0.110906	0.113454	0.105598	0.109885	0.106602	0.115945	0.114942	0.0992759	1.10667	1656.67	0.236535	0.111677
0.101865	0.113003	0.116424	0.108358	0.109593	0.106316	0.118721	0.117903	0.103223	1.07883	1134.25	0.0472475	0.10902
0.0997893	0.114575	0.109382	0.104343	0.110988	0.111622	0.116823	0.101561	0.110912	1.15618	4192.38	0.387881	0.113604
0.10256	0.109061	0.109717	0.108719	0.111886	0.103107	0.103242	0.11035	0.112008	1.08757	3592.62	0.0811209	0.110548
0.101627	0.109196	0.109569	0.106254	0.111174	0.105661	0.102314	0.111065	0.112556	1.0754	5077.15	0.0897161	0.108459
0.107945	0.108746	0.105303	0.105412	0.108729	0.10226	0.12078	0.0982497	0.110774	1.00567	2752.05	0.085356	0.108491
0.102076	0.108605	0.106015	0.0951381	0.103136	0.106327	0.115756	0.0912856	0.111948	0.907586	690.596	0.223895	0.093525
0.103044	0.0957521	0.113877	0.121513	0.103422	0.106337	0.106224	0.101811	0.113484	1.06888	696.781	0.0375573	0.109366
0.107624	0.111871	0.115079	0.101135	0.117565	0.110329	0.12042	0.102793	0.116539	1.05977	3536.44	0.128135	0.113329
0.102339	0.113912	0.1178	0.115548	0.111485	0.108897	0.116195	0.117148	0.111358	1.15076	1772.84	0.174242	0.115978
0.0999967	0.112902	0.121222	0.111472	0.117674	0.104115	0.109666	0.116817	0.117297	1.09968	1630.59	0.112228	0.108879
0.109157	0.106524	0.103446	0.105172	0.112855	0.107207	0.113721	0.0997121	0.109176	0.992954	1019.87	0.115599	0.108471
0.108814	0.107939	0.112821	0.101613	0.110683	0.0955815	0.114442	0.0959538	0.114795	0.989814	2061.45	0.736996	0.107826
0.102936	0.121058	0.101624	0.111817	0.113279	0.116007	0.107919	0.10009	0.112099	1.04104	1835.32	0.0641117	0.10671
0.101103	0.107436	0.121029	0.107827	0.114188	0.104534	0.127708	0.112165	0.117893	1.12101	3243.17	0.60397	0.111968
0.101735	0.110034	0.112158	0.113157	0.108076	0.103384	0.114078	0.101147	0.112124	1.11658	1531.91	0.279873	0.112263
0.103149	0.110582	0.111079	0.105487	0.11717	0.107883	0.113379	0.109767	0.115852	1.0882	6233.51	0.152709	0.111235
0.103885	0.117469	0.109893	0.105549	0.119862	0.109316	0.112289	0.112757	0.110463	1.09292	4099.24	0.150466	0.112452
0.106467	0.10745	0.113063	0.102804	0.109599	0.100291	0.111483	0.103039	0.104038	0.990524	3711.25	0.153095	0.105564
0.104518	0.107429	0.111481	0.103296	0.104658	0.102686	0.10615	0.103323	0.101945	1.0034	2291.09	0.0177421	0.104837
0.104208	0.108943	0.109181	0.102745	0.10673	0.0981622	0.103575	0.105525	0.101005	1.00387	3007.65	0.0119807	0.104568
0.108214	0.111448	0.107528	0.111508	0.111661	0.117472	0.11725	0.107637	0.121922	1.02114	1436.07	0.0887417	0.11025
0.0989481	0.108326	0.112043	0.103536	0.112441	0.0990993	0.110536	0.105174	0.103348	1.09069	1926.61	0.427164	0.106962
0.101302	0.108245	0.107199	0.0973403	0.106711	0.0950908	0.105037	0.10141	0.111172	1.00997	4397.88	0.327048	0.102209
