1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.00190175	0.000936517	0.00275193	0.00154769	0.00190287	0.00155669	0.00268062	0.00148053	0.00290311	1.05492	3399.16	0.117866	0.00200598
0.00170545	0.00125213	0.00242313	0.00194243	0.00165564	0.00248948	0.00175949	0.00177954	0.00206234	1.00208	1794.12	0.0473795	0.00170898
0.00159147	0.00151325	0.00206345	0.00156518	0.00158229	0.00205206	0.00139398	0.00203004	0.00217107	1.0232	1735.42	0.048275	0.00162832
0.00169704	0.00155418	0.00208308	0.00141057	0.00148863	0.00181966	0.00160513	0.00192631	0.00246904	1.00719	2064.11	0.0410558	0.00170922
0.00169704	0.00155418	0.00208308	0.00141057	0.00148863	0.00181966	0.00160513	0.00192631	0.00246904	1.00719	2064.11	0.0410558	0.00170922
0.00243901	0.00221767	0.00285098	0.0017099	0.00306348	0.00233007	0.00269223	0.00284134	0.00296523	0.973694	6437.13	0.171796	0.002375
0.0024812	0.00231508	0.00245683	0.00172306	0.00272039	0.00194524	0.00256448	0.00261454	0.00309299	1.10457	7012.87	0.153595	0.00273996
0.00190436	0.00198269	0.00137265	0.00320458	0.00186167	0.00202905	0.00255097	0.0027027	0.0018294	1.11972	4405.2	0.0743373	0.00213185
0.00190436	0.00198269	0.00137265	0.00320458	0.00186167	0.00202905	0.00255097	0.0027027	0.0018294	1.11972	4405.2	0.0743373	0.00213185
0.00188324	0.00189997	0.00147514	0.00168388	0.00202885	0.00192568	0.00170945	0.00135637	0.00291831	0.820148	5003.29	0.120517	0.00154506
0.00163605	0.00176896	0.00218162	0.0030479	0.00307485	0.00221444	0.0012782	0.00139951	0.00126458	0.886199	1741.34	0.187842	0.00145014
0.00222298	0.000705252	0.00441074	0.00269779	0.00092154	0.00141242	0.0018379	0.00200994	0.00156218	0.728031	2661.59	0.168963	0.00161938
0.00172551	0.00110912	0.00208768	0.00259625	0.00149695	0.00156294	0.00186943	0.00401155	0.00138876	0.830829	1501.4	0.260998	0.00143402
0.00129891	0.00073562	0.000935463	0.00252583	0.00167494	0.00299791	0.00503441	0.00171279	0.00112165	1.05067	1018.97	0.0536443	0.00136463
0.00129891	0.00073562	0.000935463	0.00252583	0.00167494	0.00299791	0.00503441	0.00171279	0.00112165	1.05067	1018.97	0.0536443	0.00136463
0.00197134	0.00190991	0.00285057	0.00152897	0.00161951	0.000785921	0.000583994	0.00101282	0.002107	0.851275	5906.5	0.238831	0.00167864
0.00172277	0.00153359	0.00300409	0.00213212	0.00121821	0.000778457	0.000522801	0.00116945	0.00184286	0.679912	5905.9	0.211944	0.00117198
