1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.96273	0.983088	0.977865	0.977281	0.977788	0.980364	0.976593	0.977652	0.979546	1.80023	2336.63	0.484133	0.978948
0.958104	0.978056	0.975139	0.977912	0.98012	0.976865	0.980001	0.976814	0.979336	1.86747	2147.03	0.668624	0.97712
0.955706	0.981281	0.978492	0.973128	0.973995	0.975802	0.975374	0.974606	0.978533	1.82453	2419.44	1.13226	0.975227
0.96147	0.980795	0.978715	0.975728	0.969529	0.977008	0.973894	0.978215	0.976864	1.81614	2358.94	0.933169	0.978411
0.951469	0.973146	0.967017	0.970712	0.979465	0.973233	0.974047	0.975288	0.976477	2.08225	1191.73	0.390537	0.97609
0.968756	0.973748	0.978157	0.982177	0.981188	0.983352	0.980788	0.977592	0.977463	1.65195	2957.95	0.464114	0.98085
0.963256	0.975315	0.978141	0.982629	0.984178	0.982358	0.978401	0.975633	0.978251	1.70559	3310.33	0.547052	0.978124
0.968079	0.985099	0.976822	0.97254	0.982605	0.979485	0.982676	0.978098	0.984058	1.59443	1405.9	0.345931	0.979739
0.968419	0.966419	0.976853	0.981448	0.974785	0.985696	0.977256	0.968571	0.985282	1.40765	682.347	1.10727	0.977358
0.972653	0.981785	0.978656	0.980645	0.981673	0.979799	0.974876	0.971293	0.974388	1.29746	688.276	0.654748	0.97879
0.969301	0.98656	0.975752	0.974599	0.979633	0.974194	0.980474	0.978326	0.977456	1.64067	1527.19	0.160159	0.981062
0.96557	0.985593	0.972869	0.975213	0.978962	0.971145	0.980174	0.978122	0.979057	1.43285	1901.39	0.168227	0.975718
0.969027	0.960123	0.981743	0.983108	0.978854	0.988952	0.974807	0.967051	0.97172	1.50447	240.649	0.651854	0.979196
0.949312	0.964986	0.953375	0.977119	0.967164	0.989982	0.975154	0.963503	0.957465	1.5752	217.966	0.395757	0.967214
0.97158	0.971698	0.977951	0.979359	0.975853	0.952272	0.955435	0.953361	0.961131	0.823479	273.621	0.189621	0.965697
0.968758	0.97116	0.957523	0.972937	0.954121	0.976756	0.954183	0.966293	0.971535	0.858001	344.211	0.768761	0.963774
0.965823	0.969138	0.973238	0.967997	0.978691	0.972104	0.977126	0.966748	0.964315	1.05082	1750.99	0.0569959	0.967422
0.966753	0.979274	0.971683	0.970121	0.974567	0.966001	0.964938	0.966268	0.961612	1.04616	1682.57	0.0850062	0.968173
0.966137	0.965989	0.969022	0.968019	0.970711	0.971246	0.969204	0.970989	0.970078	1.13266	1756.49	0.0991124	0.969984
0.965783	0.969755	0.970953	0.97297	0.976283	0.977001	0.969361	0.964428	0.969464	1.1262	1767.66	0.0530483	0.969501
0.968599	0.97267	0.965962	0.971876	0.968016	0.959842	0.965137	0.966087	0.960838	0.946924	1240.25	0.070441	0.966897
0.969158	0.970288	0.966362	0.968827	0.972568	0.961081	0.964556	0.969837	0.955773	0.990853	869.499	0.0483941	0.968882
0.955878	0.961764	0.961579	0.963166	0.963364	0.971823	0.966314	0.955988	0.968294	1.27234	1539.25	0.386255	0.964991
0.949249	0.967985	0.962354	0.971194	0.979143	0.973176	0.966813	0.969641	0.971866	1.82593	1725.57	0.487809	0.971553
0.957069	0.974576	0.967859	0.969175	0.973272	0.970674	0.968847	0.97348	0.967892	1.53973	2581.81	0.829266	0.971692
0.958654	0.972722	0.978764	0.97899	0.974865	0.978804	0.978635	0.96928	0.976824	1.75679	1160.37	0.592856	0.976038
0.959476	0.982663	0.976323	0.977343	0.982392	0.979649	0.977764	0.982312	0.977439	1.98225	2883.12	0.494712	0.979138
0.971315	0.973799	0.983999	0.979769	0.975799	0.980895	0.979377	0.974143	0.980086	1.47189	2009.3	0.39093	0.980331
0.966941	0.978776	0.977082	0.973034	0.97799	0.973467	0.97498	0.977119	0.977922	1.39239	3244.95	0.324109	0.976034
0.959849	0.977711	0.980681	0.982091	0.979863	0.982027	0.980908	0.975943	0.979588	2.05816	2937.39	1.02271	0.980081
0.969141	0.982271	0.980872	0.976783	0.982907	0.980853	0.978854	0.982073	0.979258	1.61124	3201.25	0.295507	0.980621
0.93791	0.981451	0.983917	0.979133	0.985481	0.98253	0.981338	0.983469	0.983672	3.88561	2264.91	1.02985	0.983248
0.950371	0.985103	0.983095	0.984599	0.982229	0.981283	0.987576	0.977188	0.985095	3.21865	3904	1.73454	0.984035
