1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
9.06668e-05	0.000396457	0.000207675	4.23158e-05	0.000279191	0.000158216	0.000538837	0.000298849	0.0002141	0.951392	6430.14	0.380423	8.626e-05
0.000138308	0.000442377	0.000209031	3.72889e-05	0.00013262	6.26333e-05	0.0003811	0.000514905	3.98482e-05	0.889694	3013.64	0.16522	0.000123054
7.7384e-05	0.000319158	0.000586433	5.20221e-05	9.19102e-05	6.60532e-05	0.000346383	0.000258678	2.52264e-05	0.987467	2480.86	0.291935	7.64142e-05
1.33427e-05	0.000162445	0.000771553	0.000229729	0.000642903	0.000149113	0.000258279	0.000229044	5.35507e-05	0.823933	4205.72	0.282076	1.09935e-05
8.76197e-05	0.000355723	1.80726e-05	0.000319631	4.89629e-05	1.51377e-05	0.000289659	0.000146058	0.0003075	0.840299	3819.28	0.135319	7.36278e-05
7.05086e-05	0.000485509	9.98103e-05	7.60449e-05	0.00031987	0.0014667	0.000923621	0.00103182	0.000264039	1.60818	2588.08	0.603617	0.000113386
0.000642574	0.000521082	0.00126282	0.0015811	0.000740804	8.16147e-05	0.000246305	0.000228885	0.000609797	0.525583	4075.18	0.366798	0.000337829
5.53419e-05	0.000526008	0.000137121	0.000115332	0.000535052	0.000247381	0.000857119	0.00159723	0.000612492	1.81607	1142.16	0.342484	0.0001005
6.37047e-05	0.000586316	0.000137568	0.00017597	0.000315742	0.000438471	0.0007144	0.0017975	0.000363702	2.38589	2132.4	0.654132	0.000151979
0.0010457	0.000915455	0.0021482	0.00188435	0.00133241	0.00122837	0.000822957	0.000198305	0.000907086	0.926804	1972.96	0.363456	0.000969235
0.000364091	0.000555888	0.000225303	0.000274719	0.000448749	0.00043254	0.000716945	0.00111898	0.000409749	0.95932	3717.07	0.0966382	0.000349285
0.000306902	0.000859579	0.000397853	0.000565201	0.000420096	0.000438744	0.000585902	0.000218908	0.00168262	1.09996	4533.3	0.118111	0.000337569
0.000585334	0.00048947	0.000481678	0.000556623	0.000589321	0.00102857	0.000495536	0.000589132	0.000250252	0.737204	6294.53	0.406628	0.000431577
9.613e-05	0.000533494	0.000679012	0.000882944	0.000347199	0.000594613	0.000459135	0.000301924	0.00027222	0.972744	2841.77	0.0995354	9.35101e-05
0.00018387	0.000548555	0.00111347	0.00048535	0.000314518	0.000585038	0.000596803	0.000276978	0.000447484	0.989354	3259.83	0.0646488	0.000181913
0.000161322	0.000740583	0.00108304	0.000253444	0.00049972	0.000690559	0.000863951	0.000237864	0.000297661	0.977713	3456.21	0.0818188	0.000157727
0.000568102	0.000403522	0.000146967	0.000568541	0.000445439	0.000383993	0.000312384	0.000788127	0.000724559	0.837775	6320.91	0.489058	0.000475986
0.000432247	0.000402468	0.000233916	0.00048803	0.000582923	0.000710003	0.000497337	0.000498929	0.000508021	0.706886	7327.74	0.380496	0.000305588
0.000403069	0.000218132	0.000311102	0.000408756	0.00060123	0.000687488	0.000382862	0.000428321	0.000379183	0.857414	8426.86	0.387601	0.000345617
0.000402675	0.000186657	0.00105415	0.000661851	0.000508377	0.000367137	0.000887551	0.000703728	0.00043114	0.731991	1956.18	0.227489	0.000294786
0.000133122	0.000177121	0.000423696	0.000442951	0.000181616	0.000869087	0.000589839	0.000912399	0.000798406	1.33133	3351.65	0.234762	0.000177221
0.000146998	0.000511015	0.000412868	0.000280472	0.00076026	0.000237169	0.000418815	0.000113028	0.000178779	1.03434	5613.38	0.129771	0.000152046
0.000173328	0.000281109	0.000535821	0.000902462	0.000213715	0.000980321	0.000462778	0.000234855	0.000208402	0.810204	1799.61	0.452812	0.000140435
0.00018463	0.000704689	0.00101596	0.0008218	0.000151668	0.00123285	0.00140827	0.000256218	0.000486727	1.2646	2444.71	0.116537	0.000233472
