1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.00639005	0.00396691	0.0087689	0.00942655	0.00609302	0.00422047	0.00437006	0.00737929	0.00542387	0.982151	472.596	0.195654	0.0062767
0.00524877	0.00311335	0.00967823	0.0140348	0.00636462	0.00465814	0.00469633	0.00821359	0.00446669	0.800626	685.845	0.217696	0.0042067
0.00630037	0.00343612	0.0117337	0.00779034	0.00693586	0.00507198	0.00695576	0.0062605	0.00245775	0.880276	650.796	0.49097	0.00555025
0.00586705	0.00316366	0.00711701	0.00728732	0.0058695	0.00520023	0.00459142	0.00634245	0.00624478	0.943922	1885.47	0.535057	0.00553986
0.00538913	0.00465251	0.00979991	0.00726572	0.00703883	0.00758306	0.0046859	0.00703278	0.00524922	1.15133	3814.14	0.0775463	0.00619959
0.0053263	0.00395088	0.00976189	0.00793786	0.00591159	0.00507312	0.0055186	0.0074155	0.00585124	1.10257	2388.05	0.174877	0.0058694
0.00571909	0.00490865	0.00726362	0.0090067	0.00668789	0.00629357	0.00510241	0.00542484	0.00582597	1.07392	2461.59	0.25681	0.00613928
0.00542265	0.00533972	0.00852254	0.00876025	0.00691919	0.00448385	0.00457949	0.00644047	0.00466494	0.937385	3057.5	0.17376	0.00508484
0.00548726	0.00435808	0.00770371	0.00825517	0.0075223	0.00727861	0.00869404	0.00613334	0.00572417	1.3096	2086.71	0.411086	0.0071739
0.00637592	0.00515711	0.00914967	0.00826568	0.00659191	0.00440697	0.0042622	0.0070977	0.00512755	0.990134	2534.83	0.104592	0.00631341
0.00616873	0.00242175	0.00794632	0.00937248	0.00713198	0.00605915	0.00677902	0.00522658	0.00474815	0.776029	566.996	0.508513	0.00479374
0.00596317	0.00395762	0.0109262	0.0103521	0.00711709	0.00603343	0.00444979	0.00726858	0.00286708	0.910497	1392.71	0.0586926	0.00543235
0.0054341	0.00413438	0.00950281	0.00875891	0.00540412	0.00522344	0.0052545	0.00804535	0.00527978	1.31402	1116.12	0.492365	0.00712833
0.00551529	0.00436823	0.00737461	0.00734625	0.00568177	0.00572908	0.00614054	0.00427639	0.00399267	0.998658	2038.79	0.0566401	0.00550793
0.00538328	0.00363359	0.00633767	0.00575873	0.0074687	0.00576703	0.00482401	0.00558877	0.0037163	0.947412	3630.24	0.200651	0.00510163
0.00575879	0.00637377	0.0086682	0.00763728	0.00622757	0.00563508	0.00617907	0.00703066	0.00686534	1.13974	6444.6	0.753785	0.00655822
0.00505876	0.0039166	0.00713688	0.00754504	0.00739978	0.00616385	0.00618776	0.00649506	0.00448728	1.01799	3452.61	0.0848509	0.0051493
0.0049597	0.00392103	0.00669163	0.00719495	0.0066394	0.00644615	0.00609098	0.00731592	0.00437869	1.00979	3627	0.077703	0.00500803
0.00675518	0.00525101	0.00957127	0.00932492	0.00837065	0.00482926	0.00537643	0.00720356	0.00521388	1.07898	1194.63	0.370909	0.00728479
0.00641121	0.00418516	0.00959555	0.00833769	0.00752162	0.00432065	0.00793118	0.00568672	0.00443689	0.958699	1585.2	0.640402	0.00614805
0.0058348	0.00386504	0.00735911	0.00991645	0.00652446	0.00644312	0.0046574	0.00543562	0.00581857	0.907047	1942.68	0.092622	0.0052953
0.00568033	0.00508569	0.00920269	0.00634558	0.00810726	0.00493954	0.00564123	0.00677138	0.00408633	0.861185	1235.98	0.314662	0.00489568
0.00558738	0.00305343	0.00880212	0.0125923	0.00639621	0.0058174	0.00493273	0.00636056	0.00515932	1.10062	2053.11	0.114655	0.00614611
0.00566279	0.00370482	0.00920369	0.0121505	0.00621338	0.0057697	0.00506652	0.00660071	0.00490703	1.04374	1802.79	0.0644535	0.00590903
0.00626661	0.00505431	0.0067266	0.00859986	0.00558764	0.00592624	0.00512259	0.00616352	0.00609728	1.00393	5034.07	0.0185856	0.00629108
0.00626661	0.00505431	0.0067266	0.00859986	0.00558764	0.00592624	0.00512259	0.00616352	0.00609728	1.00393	5034.07	0.0185856	0.00629108
0.00626661	0.00505431	0.0067266	0.00859986	0.00558764	0.00592624	0.00512259	0.00616352	0.00609728	1.00393	5034.07	0.0185856	0.00629108
0.00626661	0.00505431	0.0067266	0.00859986	0.00558764	0.00592624	0.00512259	0.00616352	0.00609728	1.00393	5034.07	0.0185856	0.00629108
